feature,importance
V258,73348.27279302634
TransactionDT,35724.310852761155
card2,34738.135583351774
card1,34070.764892924606
TransactionAmt,31313.195055384076
addr1,30724.608476428573
DeviceInfo,25879.3174247096
C14,25749.460443379077
C13,25334.43199919925
R_emaildomain,22001.16273324533
C1,21507.94227943792
D2,18722.7709550883
C11,17808.07250925948
D15,17354.794965347628
P_emaildomain,16082.305923392376
card5,15948.842768241477
dist1,15438.46206051945
V201,15070.293371399865
V294,13685.821222383025
D4,12642.124024572744
V257,12141.12802748351
D1,11612.490527988894
C8,11558.366147763916
D10,11308.10429121975
V317,10037.3348332011
C6,10003.217274115732
D8,9390.35068856672
D11,8494.278217369923
D3,8420.050484168116
C2,8380.637766212392
card6,7329.285657972097
V45,6690.468738054468
C9,6604.7368996915175
M5,6550.120394760976
C4,6540.774089806403
D5,5822.634129937702
V283,5766.151334506848
V313,5677.0857917803805
card3,5600.73575228703
V189,5427.184974204128
C10,5255.1974751082935
M6,5182.850202300567
V70,5097.690269845228
D9,5066.382599879294
V246,4992.629794565476
V308,4963.405451552167
V62,4943.0630559329875
V315,4898.695261145321
C12,4883.703869153086
V318,4832.020296245755
V225,4786.530929968071
V310,4740.728397044225
dist2,4639.287562806749
V87,4624.025649344781
C5,4315.744562242126
V91,4222.302868303533
V307,4053.282701390434
V312,3975.2564135093126
D14,3821.336262437855
V314,3708.245215245988
V83,3204.8850539078317
V295,3152.8055524310716
V82,3080.0838832291774
M4,2977.1759383380413
ProductCD,2809.3833710749946
V130,2807.3895543249578
V54,2748.3325630024387
V156,2695.0415158888013
V76,2661.835725469282
addr2,2612.9828925611605
V320,2551.3603355063437
DeviceType,2492.905037834493
V127,2489.4508345949675
V285,2450.80524708839
M3,2443.6354019480445
D12,2424.3416158092055
V12,2422.860351349848
D6,2383.5826327882046
V281,2324.8422550214455
V38,2267.6204874317627
V128,2249.705582770441
V53,2240.7616147628673
V131,2215.497061712745
V20,2202.953081095436
M8,2196.831097718207
V78,2132.7503116643443
V75,2128.1090879403055
M9,2101.005706910852
V35,2064.86750141539
V48,2036.7087032122847
V61,2030.354865801676
V36,2012.541443543043
V90,1987.9191615618765
V133,1881.7779063186608
V44,1881.0276548818995
V30,1865.088504601891
V296,1843.543406976678
D13,1838.2470857879769
V56,1794.440059835227
V13,1781.4458480427663
V282,1769.9811833459728
V67,1733.530920880381
card4,1643.6498982359965
V29,1563.6131578705583
V5,1561.3695995931823
V306,1549.6199302411405
M7,1531.219321201245
M2,1527.3396229935654
V86,1470.9496655335777
V264,1449.3219030410628
V19,1411.496105752575
V102,1410.9493892940227
V291,1366.119065981203
V309,1360.1778509052044
V126,1355.7048845477402
V187,1340.9355388540437
V165,1328.8915611532673
V129,1295.081894406777
V49,1283.0975558268838
V261,1277.88987792423
V55,1265.9080881026264
V136,1248.7409831472517
V77,1203.8772983322851
V333,1175.6727687874034
V40,1160.0709542323991
V203,1138.1059672544272
V194,1118.799443980058
V99,1105.9257271323975
D7,1068.30357594823
V311,1067.3806912290554
V96,1066.5720760642168
V280,1051.2047828384966
V4,1048.1572850023706
V222,1040.1005512747215
V224,1033.1971740250785
V74,1005.6082200659439
V274,998.5012946703937
V69,985.9002978662029
V149,985.1700248913063
V262,959.7173349975297
V265,951.0416970159082
V37,933.3587660087796
V24,928.2872095135972
V266,896.1987916988631
V210,895.8702946354946
V152,891.0069562102823
V331,884.4283208935376
C7,880.356908794803
V277,872.9352459289754
V289,866.0814194135988
V94,855.4403949479262
V66,839.7563641117886
V160,827.461056558881
V52,822.5554588660598
V267,810.2820324401837
V332,798.3563343729669
V321,797.10441934069
V207,789.9555213174317
V11,788.1352192393193
V316,767.0871612567765
V23,760.7242486681789
V259,754.8687975790041
V323,753.527660833594
V26,753.2664548928539
V47,735.2053380049765
V271,732.3066271560577
V134,724.6871391823515
V10,720.7745284773409
V217,718.6244276585057
V124,717.2554134602348
V263,710.7324051927523
V34,691.9546266794205
V81,689.1580560346289
V15,688.9851445450137
V64,675.0808431899641
V3,674.003680707266
V292,659.0433946515744
V208,657.7417912911624
V245,651.6111609978834
V7,647.7589825863639
V298,639.2328409055868
V158,627.2272119231056
V25,624.7658544753989
V209,619.7244993935068
V143,618.8688815080095
V270,612.8739949824909
V273,595.8075159279615
V279,582.9449679669924
V171,574.000133804316
V60,567.4116308297962
V51,552.4927839494
V234,549.7116500381538
V275,548.0489363680439
V164,546.810459172974
V132,545.6583223097647
V137,538.6599022550508
V326,518.439589352347
V58,518.2865455603848
V33,514.1802704197665
V268,513.7185578189941
V202,511.02674501851044
V260,507.40825150193024
V256,507.2878827899888
V205,505.0091449874453
V204,499.9354584676524
V212,497.0963616347872
V135,494.69035467443365
V200,492.8076683631516
V272,492.5693439034124
V215,491.6216172814214
V278,491.5129958083271
V178,486.35956689518554
V2,482.7140779110293
V73,481.75895225986216
V150,476.6855938551016
V85,471.62457344743115
V159,470.57523480964363
V233,468.67924880919355
V140,467.44666909457493
V139,461.8532497615088
V170,451.05973602687783
V293,448.9516854720811
V169,446.8207158545653
V319,444.36822924328345
V79,443.0965641314785
V218,436.9030250695323
C3,435.92079558968544
V166,431.0680476008377
V221,420.6110285243388
V219,417.5175391911946
V6,416.25512195006013
V300,415.46560015964013
V301,412.35808595394093
V276,408.2917058727083
V216,405.1140796595525
V43,405.0360498884693
V229,401.8613184619462
V39,397.41422554664314
V145,397.03923405629274
V288,395.1334272585809
V335,376.2665410252909
V162,369.87365307907265
V213,367.69062203347374
V232,363.10823572131125
V287,357.6794397259752
V175,349.2266214956374
V211,338.6336098794515
V220,333.4372316785157
V97,329.27083792320144
V243,325.6527455242273
V290,320.67390750721097
V93,311.9542256022493
V115,308.8571256871025
V206,303.9167644387732
V227,302.76199566728127
V109,300.0550244450569
V46,299.78851835709065
V42,299.16795402920496
V226,296.4772974656274
V63,292.7281260540088
V154,290.14308418830234
V167,288.2069613824909
V163,287.4220266205569
V324,284.96075720371056
V214,281.86129385543364
V244,280.9516195617616
V242,280.685200560838
V72,280.5807464743654
V230,277.2571370561297
V173,276.48515130703646
V192,275.6910349209211
V248,272.957838802288
V239,270.30273029677727
V8,266.97882897717255
V32,263.43270443504053
V59,263.01698819641024
V57,262.9802831709385
V253,262.0704722787098
V188,257.84537839889526
V9,256.76079762913287
V286,255.81047508120537
V18,250.57913003116846
V254,249.27184476082525
V80,247.75526101142168
V199,245.0522625723388
V247,240.4579125021895
V157,236.7705429966251
V147,226.97804428248006
V338,225.68452544661704
V95,222.96951855703568
V251,215.50655684433877
V339,214.20280205334225
V50,211.31516634424528
V100,210.61739290319383
V148,207.9352218794326
V151,203.58958958089352
V161,202.8572129178598
V168,198.34322561277077
V190,197.75223435958227
V223,196.41443757216135
V231,194.28576530500627
V284,193.9939579113076
V105,189.46656280820025
V198,187.09910462486246
V250,185.4290076183776
V144,180.27021324122325
V186,179.94452838848034
V336,178.3441630662613
V103,174.4401962645352
V238,171.023663337032
V182,170.97327791992575
V98,169.03961644197503
V228,168.18063035227047
V180,167.5492382630085
V71,166.2887631288419
V303,156.27937615662813
V176,151.34009085246362
V92,147.96051374450326
V322,147.3777106527899
V116,145.36581964294115
V146,144.6149669562777
V193,141.1980072395721
V153,139.4754143382112
V84,139.44851856430373
V125,138.60215335960189
V123,133.95585805363953
V184,131.0515907642742
V299,131.0297187169393
V197,129.03612171237668
V249,128.68017387886843
V177,126.75180750836928
V112,125.70392930259307
V329,123.97637593001127
V255,121.06830699245135
V155,116.01401692900497
V106,113.56239114515483
V17,110.92650731932372
V172,110.67030210979283
V179,109.90692693297751
V302,109.10142218135297
V22,105.6401146799326
V101,104.02874025826652
V304,103.80854712675016
V185,103.67194731533527
V21,101.95033576836188
V235,99.61312928283587
V297,98.19087780701618
V237,88.76459527636568
V337,86.40490641631186
